courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,othersAsCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
257128,Leadership & Management Diploma + Supervisory Skills Level 2,Get 2 Certification in 1 Course. Professional Certificate Endorsed by ABC Awards + CPD Certificate. Tutor Support,https://www.reed.co.uk/courses/leadership-management-diploma--supervisory-skills-level-2/257128#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,28,28 students purchased this course,15.0,300.0,yes,missing,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Leadership & Management (Certificate of Achievement),5.0
260466,Interior Design Course + Sales Negotiation Training Course,Get 2 Certification in 1 Course. Professional Certificate Endorsed by ABC Awards + CPD Certificate. Tutor Support,https://www.reed.co.uk/courses/interior-design-course--sales-negotiation-training-course/260466#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,17,17 students purchased this course,15.0,300.0,yes,missing,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Interior Design (Certificate of Achievement),5.0
260963,Renewable Energy Course: Independent Power - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/renewable-energy-course-independent-power-cpd-accredited/260963#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,7,7 students purchased this course,17.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,4 CPD points / hours,missing
260988,Lomi Lomi Massage Online Training Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/lomi-lomi-massage-online-training-course-cpd-accredited/260988#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,13,13 students purchased this course,15.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
261007,Deep Tissue Massage Online Training Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/deep-tissue-massage-online-training-course-cpd-accredited/261007#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,18,18 students purchased this course,17.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
262729,Cake Baking Course - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/cake-baking-course-cpd-accredited/262729#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,15,15 students purchased this course,10.99,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
264121,Leadership & Management Level 4,Level 4 Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support ,https://www.reed.co.uk/courses/leadership-management-level-4/264121#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,4,4 students purchased this course,10.99,300.0,no,missing,missing,yes,no,ABC Awards,Level 4 Diploma Leadership & Management (Certificate of Achievement),4.0
264373,Business Analysis Level 4,Certified Business Analysis Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/business-analysis-level-4/264373#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,10.99,300.0,no,missing,missing,yes,no,ABC Awards,Level 4 Diploma Business Analysis  (Certificate of Achievement),4.0
266017,Operations Management Level 4,Certified Operations Manager Training Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/operations-management-level-4/266017#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,7,7 students purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 4 Diploma Operations Management (Certificate of Achievement),4.0
266948,Accountancy & Bookkeeping - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/accountancy-bookkeeping-cpd-accredited/266948#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,5,5 students purchased this course,10.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
