courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated
238042,Professional Photography Masterclass,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/professional-photography-masterclass/238042#/courses/discount?pageno=4&sortby=MostPopular,Course Gate,308,308 students purchased this course,23.0,175.0,no,missing,no,no
57555,Child Safeguarding Course - Level 3 CPD Accredited,Summary,https://www.reed.co.uk/courses/child-safeguarding-course-level-3-cpd-accredited/57555#/courses/discount?pageno=4&sortby=MostPopular,Oplex Careers,658,658 students purchased this course,14.0,199.99,yes,The CPD Certification Service,no,no
72332,Cognitive Behavioural Therapy (CBT) Training Course,Summary,https://www.reed.co.uk/courses/cognitive-behavioural-therapy-cbt-training-course/72332#/courses/discount?pageno=4&sortby=MostPopular,Renaissance Life Therapies of Harley Street London,596,596 students purchased this course,10.0,200.0,yes,The CPD Standards Office,no,no
72342,NEBOSH National General Certificate Online Course - New Syllabus,Summary,https://www.reed.co.uk/courses/nebosh-national-general-certificate-online-course-new-syllabus/72342#/courses/discount?pageno=4&sortby=MostPopular,Wise Global Training Ltd,0,"1,040 students enquired about this course",420.0,540.0,no,National Examination Board in Occupational Safety and Health,yes,no
72390,Recruitment Consultant Diploma – CPD Certified,Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/recruitment-consultant-diploma--cpd-certified/72390#/courses/discount?pageno=4&sortby=MostPopular,Be-a.co.uk,943,943 students purchased this course,34.0,299.0,yes,The CPD Certification Service,no,no
76656,Extensions and Hair Styling Expert - CPD Certified,Fast Track to a New Career | Certificate Included | Lifetime Access ,https://www.reed.co.uk/courses/extensions-and-hair-styling-expert-cpd-certified/76656#/courses/discount?pageno=4&sortby=MostPopular,Trendimi,145,145 students purchased this course,10.0,119.0,yes,The CPD Certification Service,no,no
76995,Veterinary Support Assistant (VET Assistant) - CPD Certified,Expert Animal Training | Internationally Accredited | Certificate Included | Lifetime Access | Special Offer,https://www.reed.co.uk/courses/veterinary-support-assistant-vet-assistant-cpd-certified/76995#/courses/discount?pageno=4&sortby=MostPopular,Holly and Hugo,254,254 students purchased this course,12.0,119.0,yes,The CPD Certification Service,no,no
81309,Food Safety Level 2 in Simplified Chinese,"ROSPA Accredited, Institute of Hospitality Endorsed, CPD and Local Authority Approved",https://www.reed.co.uk/courses/food-safety-level-2-in-simplified-chinese/81309#/courses/discount?pageno=4&sortby=MostPopular,The Training Terminal,106,106 students purchased this course,12.0,30.0,no,missing,no,no
244178,Safeguarding Children Certificate - CPD Certified,Student Discount Card Eligible | Lifetime Access | Online certified training |Online certificate and exam included,https://www.reed.co.uk/courses/safeguarding-children-certificate-cpd-certified/244178#/courses/discount?pageno=4&sortby=MostPopular,Be-a.co.uk,56,56 students purchased this course,10.0,299.0,yes,The CPD Certification Service,no,no
116062,CPR and First Aid Course - CPD Certified ,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access |30 CPD points,https://www.reed.co.uk/courses/cpr-and-first-aid-course-cpd-certified/116062#/courses/discount?pageno=4&sortby=MostPopular,International Open Academy,105,105 students purchased this course,10.0,119.0,yes,The CPD Certification Service,no,no
