courseId,courseTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName
224239,Fire Marshal Level 3 – CPD Certified - Online Training Course,https://www.reed.co.uk/courses/fire-marshal-level-3--cpd-certified-online-training-course/224239#/courses/discount?sortby=MostPopular,Mandatory Compliance,561,561 students purchased this course,15.0,24.99,yes,no,no,missing,missing
56913,Nail Technician Online Diploma - CPD Certified – Only £39! ,https://www.reed.co.uk/courses/nail-technician-online-diploma-cpd-certified--only-39/56913#/courses/discount?sortby=MostPopular,Be-a.co.uk,0,"1,779 students purchased this course",39.0,299.0,yes,no,no,missing,missing
267040,GDPR Training Course,https://www.reed.co.uk/courses/gdpr-training-course/267040#/courses/discount?sortby=MostPopular,Training Express Ltd,173,173 students purchased this course,10.0,30.0,yes,no,no,missing,missing
74821,The Ultimate Microsoft Excel Bootcamp,https://www.reed.co.uk/courses/the-ultimate-microsoft-excel-bootcamp/74821#/courses/discount?sortby=MostPopular,Excel with Business,0,"4,513 students purchased this course",39.0,199.0,yes,no,no,missing,missing
197569,Construction Management ,https://www.reed.co.uk/courses/construction-management/197569#/courses/discount?sortby=MostPopular,CPD Courses,351,351 students purchased this course,15.0,1100.0,yes,yes,no,ABC Awards,Level 7 Diploma Construction Management (Certificate of achievement)
73032,The Complete Web Development Course,https://www.reed.co.uk/courses/the-complete-web-development-course/73032#/courses/discount?sortby=MostPopular,Development Island Ltd,0,"4,912 students purchased this course",10.0,500.0,no,no,no,missing,missing
201385,Nutrition - Diploma,https://www.reed.co.uk/courses/nutrition-diploma/201385#/courses/discount?sortby=MostPopular,CPD Courses,432,432 students purchased this course,10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma Diet and Nutrition (Endorsed Certificate)
201436,Operations Management,https://www.reed.co.uk/courses/operations-management/201436#/courses/discount?sortby=MostPopular,CPD Courses,377,377 students purchased this course,10.0,1050.0,yes,yes,no,ABC Awards,Level 7 Diploma Operations Management (Endorsed Certificate)
266089,Proofreading Basics,https://www.reed.co.uk/courses/proofreading-basics/266089#/courses/discount?sortby=MostPopular,Course Gate,188,188 students purchased this course,10.0,300.0,no,yes,no,ABC Awards,Level 2 Certificate Proofreading Basics (Certificate of Achievement)
124721,Sage 50 Training,https://www.reed.co.uk/courses/sage-50-training/124721#/courses/discount?sortby=MostPopular,1 Training,0,"1,054 students purchased this course",10.0,349.0,yes,no,no,missing,missing
192167,Bookkeeping & Accounting | AAT Level 2 (Foundation) Certificate in Bookkeeping,https://www.reed.co.uk/courses/bookkeeping-accounting--aat-level-2-foundation-certificate-in-bookkeeping/192167#/courses/discount?sortby=MostPopular,ICS Learn,731,731 students enquired about this course,293.0,345.0,no,yes,yes,Association of Accounting Technicians,AAT Level 2 Certificate in Bookkeeping (QCF) AAT Level 2 (Foundation) Certificate in Bookkeeping
218308,Life Coaching Diploma - CPD Certified,https://www.reed.co.uk/courses/life-coaching-diploma-cpd-certified/218308#/courses/discount?sortby=MostPopular,Be-a.co.uk,0,"1,210 students purchased this course",10.0,299.0,no,no,no,missing,missing
237348,Speech Therapist and SEN Teaching Assistant Course - CPD Accredited,https://www.reed.co.uk/courses/speech-therapist-and-sen-teaching-assistant-course-cpd-accredited/237348#/courses/discount?sortby=MostPopular,One Education,719,719 students purchased this course,10.0,199.0,yes,no,no,missing,missing
238070,Diploma in Special Education Needs (SEN) ,https://www.reed.co.uk/courses/diploma-in-special-education-needs-sen/238070#/courses/discount?sortby=MostPopular,1 Training,409,409 students purchased this course,10.0,399.0,yes,no,no,missing,missing
197518,Event Management Course,https://www.reed.co.uk/courses/event-management-course/197518#/courses/discount?sortby=MostPopular,CPD Courses,881,881 students purchased this course,10.0,560.0,yes,yes,no,ABC Awards,Level 4 Diploma Event Management (Certificate of achievement)
207082,First Aid at Work,https://www.reed.co.uk/courses/first-aid-at-work/207082#/courses/discount?sortby=MostPopular,ECHO3 EDUCATION LIMITED,469,469 students purchased this course,12.0,25.0,yes,no,no,missing,missing
233696,UK Employment Law - CPD Accredited ,https://www.reed.co.uk/courses/uk-employment-law-cpd-accredited/233696#/courses/discount?sortby=MostPopular,One Education,0,"1,226 students purchased this course",10.0,199.0,yes,no,no,missing,missing
242435,Safeguarding Children Level 3 Designated Safeguarding Lead DSL,https://www.reed.co.uk/courses/safeguarding-children-level-3-designated-safeguarding-lead-dsl/242435#/courses/discount?sortby=MostPopular,EMAGINATION TRAINING,175,175 students purchased this course,45.0,95.0,yes,no,no,missing,missing
192809,Safeguarding Children Level 3 – Online Training Course – CPD Certified,https://www.reed.co.uk/courses/safeguarding-children-level-3--online-training-course--cpd-certified/192809#/courses/discount?sortby=MostPopular,Imperium Edge,0,"1,725 students purchased this course",19.49,24.99,yes,no,no,missing,missing
250197,Food Hygiene for Catering Level 2,https://www.reed.co.uk/courses/food-hygiene-for-catering-level-2/250197#/courses/discount?sortby=MostPopular,CPD Online College,133,133 students purchased this course,11.5,30.0,yes,no,no,missing,missing
176029,Award in Education and Training (A.E.T.) Level 3 Pearson BTEC Qualification,https://www.reed.co.uk/courses/award-in-education-and-training-aet-level-3-pearson-btec-qualification/176029#/courses/discount?sortby=MostPopular,Study365,715,715 students purchased this course,29.0,399.0,no,yes,yes,Edexcel,Level 3 Award in Education and Training (QCF)
212982,Social Media Marketing ,https://www.reed.co.uk/courses/social-media-marketing/212982#/courses/discount?sortby=MostPopular,CPD Courses,410,410 students purchased this course,10.0,395.0,yes,yes,no,ABC Awards,Level 3 Certificate Social Media Marketing  (Certificate of achievement)
264825,SEN Teaching Diploma Level 5,https://www.reed.co.uk/courses/sen-teaching-diploma-level-5/264825#/courses/discount?sortby=MostPopular,Course Gate,137,137 students purchased this course,17.0,300.0,no,yes,no,ABC Awards,Level 5 Diploma SEN Teaching  (Certificate of Achievement)
241518,Motorbike Maintenance Course,https://www.reed.co.uk/courses/motorbike-maintenance-course/241518#/courses/discount?sortby=MostPopular,Course Gate,344,344 students purchased this course,10.0,175.0,no,no,no,missing,missing
98741,Pet First Aid Certificate - CPD Certified ,https://www.reed.co.uk/courses/pet-first-aid-certificate-cpd-certified/98741#/courses/discount?sortby=MostPopular,Be-a.co.uk,799,799 students purchased this course,14.0,99.0,yes,no,no,missing,missing
98736,Microsoft Excel – Beginner Course - CPD Accredited,https://www.reed.co.uk/courses/microsoft-excel--beginner-course-cpd-accredited/98736#/courses/discount?sortby=MostPopular,Be-a.co.uk,0,"2,279 students purchased this course",12.0,199.0,yes,no,no,missing,missing
247238,Operations Management Level 7,https://www.reed.co.uk/courses/operations-management-level-7/247238#/courses/discount?sortby=MostPopular,Inspire London College Ltd,149,149 students purchased this course,10.0,995.0,no,yes,no,Training Qualifications UK Ltd,Level 7 Diploma in Operations Management
